id,nieuwe_image_link,productnaam,old_image_link
58300581216581,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-2plus3-pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-2plus3-pack.jpg?v=1782219857
58300581249349,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-2plus3-pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-2plus3-pack.jpg?v=1782219857
58300581282117,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-2plus3-pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-2plus3-pack.jpg?v=1782219857
58300581314885,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-2plus3-pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-2plus3-pack.jpg?v=1782219857
58300581347653,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-2plus3-pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-2plus3-pack.jpg?v=1782219857
58300581380421,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-2plus3-pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-2plus3-pack.jpg?v=1782219857
58300581806405,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_White.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_White.jpg?v=1781690461
58300581839173,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_White.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_White.jpg?v=1781690461
58300581871941,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_White.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_White.jpg?v=1781690461
58300581904709,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_White.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_White.jpg?v=1781690461
58300581937477,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_White.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_White.jpg?v=1781690461
58300581970245,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_White.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_White.jpg?v=1781690461
58409210708293,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-2plus3pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-2plus3pack.jpg?v=1782294258
58409210741061,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-2plus3pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-2plus3pack.jpg?v=1782294258
58409210773829,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-2plus3pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-2plus3pack.jpg?v=1782294258
58409210806597,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-2plus3pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-2plus3pack.jpg?v=1782294258
58409210839365,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-2plus3pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-2plus3pack.jpg?v=1782294258
58409210872133,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-2plus3pack.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-2plus3pack.jpg?v=1782294258
58412151603525,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Gray.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Gray.jpg?v=1782748324
58412151636293,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Gray.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Gray.jpg?v=1782748324
58412151669061,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Gray.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Gray.jpg?v=1782748324
58412151701829,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Gray.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Gray.jpg?v=1782748324
58412151734597,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Gray.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Gray.jpg?v=1782748324
58412151767365,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Gray.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Gray.jpg?v=1782748324
58412151800133,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Burgundy.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Burgundy.jpg?v=1782748324
58412151832901,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Burgundy.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Burgundy.jpg?v=1782748324
58412151865669,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Burgundy.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Burgundy.jpg?v=1782748324
58412151898437,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Burgundy.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Burgundy.jpg?v=1782748324
58412151931205,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Burgundy.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Burgundy.jpg?v=1782748324
58412151963973,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Burgundy.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Burgundy.jpg?v=1782748324
58412151996741,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Orange.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Orange.jpg?v=1782748327
58412152029509,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Orange.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Orange.jpg?v=1782748327
58412152062277,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Orange.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Orange.jpg?v=1782748327
58412152095045,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Orange.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Orange.jpg?v=1782748327
58412152127813,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Orange.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Orange.jpg?v=1782748327
58412152160581,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Orange.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Orange.jpg?v=1782748327
58412152193349,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_SeaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_SeaBlue.jpg?v=1782748333
